Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.13,12,830"
Bangalore,Rs.16.10 Lakh*
Mumbai,Rs.15.39 Lakh*
Pune,Rs.15.31 Lakh*
Hyderabad,Rs.16.14 Lakh*
Chennai,Rs.16.09 Lakh*
Ahmedabad,Rs.14.51 Lakh*
Lucknow,Rs.15.17 Lakh*
Jaipur,Rs.15.36 Lakh*
Patna,Rs.15.30 Lakh*
Chandigarh,Rs.14.71 Lakh*
