Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.9,79,900"
Bangalore,Rs.11.66 Lakh*
Mumbai,Rs.11.37 Lakh*
Pune,Rs.11.37 Lakh*
Hyderabad,Rs.11.66 Lakh*
Chennai,Rs.11.56 Lakh*
Ahmedabad,Rs.10.88 Lakh*
Lucknow,Rs.11.06 Lakh*
Jaipur,Rs.11.29 Lakh*
Patna,Rs.11.35 Lakh*
Chandigarh,Rs.11.26 Lakh*
