,Ex-Showroom/ On-Road,Price,company,model,variant
1342,Bangalore,Rs.19.32 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1343,Mumbai,Rs.18.45 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1344,Pune,Rs.18.39 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1345,Hyderabad,Rs.19.43 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1346,Chennai,Rs.19.24 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1347,Ahmedabad,Rs.17.43 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1348,Lucknow,Rs.18.20 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1349,Jaipur,Rs.18.43 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1350,Patna,Rs.18.68 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1351,Chandigarh,Rs.17.64 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha Opt
1352,Ex-Showroom Price,"Rs.7,13,000",HYUNDAI,EXTER,Exter S
1353,Bangalore,Rs.8.52 Lakh*,HYUNDAI,EXTER,Exter S
1354,Mumbai,Rs.8.30 Lakh*,HYUNDAI,EXTER,Exter S
1355,Pune,Rs.8.30 Lakh*,HYUNDAI,EXTER,Exter S
1356,Hyderabad,Rs.8.52 Lakh*,HYUNDAI,EXTER,Exter S
1357,Chennai,Rs.8.45 Lakh*,HYUNDAI,EXTER,Exter S
1358,Ahmedabad,Rs.7.95 Lakh*,HYUNDAI,EXTER,Exter S
1359,Lucknow,Rs.8.08 Lakh*,HYUNDAI,EXTER,Exter S
1360,Jaipur,Rs.8.26 Lakh*,HYUNDAI,EXTER,Exter S
1361,Patna,Rs.8.23 Lakh*,HYUNDAI,EXTER,Exter S
1362,Chandigarh,Rs.7.91 Lakh*,HYUNDAI,EXTER,Exter S
1363,Ex-Showroom Price,"Rs.19,90,500",HYUNDAI,CRETA,Creta King Turbo DCT
1364,Bangalore,Rs.24.35 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1365,Mumbai,Rs.23.35 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1366,Pune,Rs.23.35 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1367,Hyderabad,Rs.24.35 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1368,Chennai,Rs.24.55 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1369,Ahmedabad,Rs.22.16 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1370,Lucknow,Rs.22.93 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1371,Jaipur,Rs.23.21 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1372,Patna,Rs.23.53 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1373,Chandigarh,Rs.21.80 Lakh*,HYUNDAI,CRETA,Creta King Turbo DCT
1374,Ex-Showroom Price,"Rs.15,19,700",MARUTI,GRAND VITARA,Grand Vitara Alpha
1375,Bangalore,Rs.18.62 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1376,Mumbai,Rs.17.78 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1377,Pune,Rs.17.72 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1378,Hyderabad,Rs.18.72 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1379,Chennai,Rs.18.54 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1380,Ahmedabad,Rs.16.79 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1381,Lucknow,Rs.17.54 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1382,Jaipur,Rs.17.75 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1383,Patna,Rs.18 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1384,Chandigarh,Rs.17 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha
1385,Ex-Showroom Price,"Rs.12,84,000",mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1386,Bangalore,Rs.16.10 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1387,Mumbai,Rs.15.16 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1388,Pune,Rs.15.11 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1389,Hyderabad,Rs.15.75 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1390,Chennai,Rs.15.88 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1391,Ahmedabad,Rs.14.34 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1392,Lucknow,Rs.14.84 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1393,Jaipur,Rs.14.95 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1394,Patna,Rs.14.97 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1395,Chandigarh,Rs.14.84 Lakh*,mahindra,xuv_3xo,XUV 3XO AX5 L Turbo AT
1396,Ex-Showroom Price,"Rs.11,03,551",mahindra,xuv300,XUV300 W6 Diesel Sunroof NT BSVI
1397,Ex-Showroom Price,"Rs.9,65,500",mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1398,Bangalore,Rs.11.73 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1399,Mumbai,Rs.11.45 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1400,Pune,Rs.11.39 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1401,Hyderabad,Rs.11.49 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1402,Chennai,Rs.11.39 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1403,Ahmedabad,Rs.10.72 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1404,Lucknow,Rs.10.90 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1405,Jaipur,Rs.11.46 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1406,Patna,Rs.11.19 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1407,Chandigarh,Rs.11.09 Lakh*,mahindra,xuv_3xo,XUV 3XO MX2 Pro Diesel
1408,Ex-Showroom Price,"Rs.11,33,000",MARUTI,VITARA BREZZA,Vitara Brezza ZXI Plus AT
1409,Ex-Showroom Price,"Rs.10,85,001",mahindra,xuv300,XUV300 W6 AMT Sunroof NT BSVI
1410,Ex-Showroom Price,"Rs.12,08,700",HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1411,Bangalore,Rs.14.77 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1412,Mumbai,Rs.14.16 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1413,Pune,Rs.14.16 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1414,Hyderabad,Rs.14.77 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1415,Chennai,Rs.14.89 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1416,Ahmedabad,Rs.13.44 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1417,Lucknow,Rs.13.91 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1418,Jaipur,Rs.13.95 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1419,Patna,Rs.14.03 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1420,Chandigarh,Rs.13.91 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo Dual Tone
1421,Ex-Showroom Price,"Rs.19,17,400",mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1422,Bangalore,Rs.23.66 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1423,Mumbai,Rs.23.08 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1424,Pune,Rs.23.14 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1425,Hyderabad,Rs.23.66 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1426,Chennai,Rs.23.85 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1427,Ahmedabad,Rs.21.77 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1428,Lucknow,Rs.22.29 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1429,Jaipur,Rs.23.04 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1430,Patna,Rs.22.87 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1431,Chandigarh,Rs.22.68 Lakh*,mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str Diesel
1432,Ex-Showroom Price,"Rs.8,58,274",HYUNDAI,EXTER,Exter SX Dual CNG
1433,Bangalore,Rs.10.23 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1434,Mumbai,Rs.9.80 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1435,Pune,Rs.9.63 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1436,Hyderabad,Rs.10.33 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1437,Chennai,Rs.10.14 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1438,Ahmedabad,Rs.9.54 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1439,Lucknow,Rs.9.70 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1440,Jaipur,Rs.10.07 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1441,Patna,Rs.9.96 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1442,Chandigarh,Rs.9.64 Lakh*,HYUNDAI,EXTER,Exter SX Dual CNG
1443,Ex-Showroom Price,"Rs.13,12,700",HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1444,Bangalore,Rs.16.03 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1445,Mumbai,Rs.15.37 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1446,Pune,Rs.15.37 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1447,Hyderabad,Rs.16.03 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1448,Chennai,Rs.16.16 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1449,Ahmedabad,Rs.14.58 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1450,Lucknow,Rs.15.10 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1451,Jaipur,Rs.15.14 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1452,Patna,Rs.15.23 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1453,Chandigarh,Rs.15.10 Lakh*,HYUNDAI,VENUE,Venue HX 8 Turbo DCT Dual Tone
1454,Ex-Showroom Price,"Rs.13,42,290",TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1455,Bangalore,Rs.16.82 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1456,Mumbai,Rs.16.06 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1457,Pune,Rs.16.28 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1458,Hyderabad,Rs.16.57 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1459,Chennai,Rs.16.59 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1460,Ahmedabad,Rs.14.98 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1461,Lucknow,Rs.15.51 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1462,Jaipur,Rs.16 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1463,Patna,Rs.15.64 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1464,Chandigarh,Rs.15.51 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Dark Diesel
1465,Ex-Showroom Price,"Rs.13,36,490",TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1466,Bangalore,Rs.16.39 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1467,Mumbai,Rs.15.19 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1468,Pune,Rs.15.19 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1469,Hyderabad,Rs.16.39 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1470,Chennai,Rs.16.52 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1471,Ahmedabad,Rs.14.92 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1472,Lucknow,Rs.15.44 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1473,Jaipur,Rs.15.48 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1474,Patna,Rs.15.57 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1475,Chandigarh,Rs.15.44 Lakh*,TATA,NEXON,Nexon Fearless Plus PS Red Dark CNG
1476,Ex-Showroom Price,"Rs.8,54,900",TATA,PUNCH,Punch Pure Plus CNG AMT
1477,Bangalore,Rs.10.19 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1478,Mumbai,Rs.9.59 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1479,Pune,Rs.9.59 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1480,Hyderabad,Rs.10.19 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1481,Chennai,Rs.10.10 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1482,Ahmedabad,Rs.9.50 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1483,Lucknow,Rs.9.67 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1484,Jaipur,Rs.9.87 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1485,Patna,Rs.9.92 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1486,Chandigarh,Rs.9.84 Lakh*,TATA,PUNCH,Punch Pure Plus CNG AMT
1487,Ex-Showroom Price,"Rs.11,80,000",mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1488,Bangalore,Rs.14.81 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1489,Mumbai,Rs.13.95 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1490,Pune,Rs.13.90 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1491,Hyderabad,Rs.14.49 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1492,Chennai,Rs.14.60 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1493,Ahmedabad,Rs.13.19 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1494,Lucknow,Rs.13.65 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1495,Jaipur,Rs.13.76 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1496,Patna,Rs.13.77 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1497,Chandigarh,Rs.13.65 Lakh*,mahindra,xuv_3xo,XUV 3XO AX7 Turbo
1498,Ex-Showroom Price,"Rs.7,99,000",HYUNDAI,EXTER,Exter S Executive Dual CNG
1499,Bangalore,Rs.9.53 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1500,Mumbai,Rs.8.97 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1501,Pune,Rs.8.97 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1502,Hyderabad,Rs.9.53 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1503,Chennai,Rs.9.45 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1504,Ahmedabad,Rs.8.89 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1505,Lucknow,Rs.9.04 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1506,Jaipur,Rs.9.24 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1507,Patna,Rs.9.20 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1508,Chandigarh,Rs.8.84 Lakh*,HYUNDAI,EXTER,Exter S Executive Dual CNG
1509,Ex-Showroom Price,"Rs.10,97,790",TATA,NEXON,Nexon Creative Plus S AMT
1510,Bangalore,Rs.13.79 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1511,Mumbai,Rs.12.94 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1512,Pune,Rs.13.14 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1513,Hyderabad,Rs.13.58 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1514,Chennai,Rs.13.60 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1515,Ahmedabad,Rs.12.28 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1516,Lucknow,Rs.12.71 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1517,Jaipur,Rs.12.74 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1518,Patna,Rs.12.82 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1519,Chandigarh,Rs.12.71 Lakh*,TATA,NEXON,Nexon Creative Plus S AMT
1520,Ex-Showroom Price,"Rs.10,70,390",TATA,NEXON,Nexon Creative Plus S Dark
1521,Bangalore,Rs.13.45 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1522,Mumbai,Rs.12.62 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1523,Pune,Rs.12.81 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1524,Hyderabad,Rs.13.25 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1525,Chennai,Rs.13.26 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1526,Ahmedabad,Rs.11.97 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1527,Lucknow,Rs.12.39 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1528,Jaipur,Rs.12.43 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1529,Patna,Rs.12.50 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1530,Chandigarh,Rs.12.39 Lakh*,TATA,NEXON,Nexon Creative Plus S Dark
1531,Ex-Showroom Price,"Rs.14,27,500",HYUNDAI,CRETA,Creta S (O) Knight
1532,Bangalore,Rs.17.50 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1533,Mumbai,Rs.16.78 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1534,Pune,Rs.16.78 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1535,Hyderabad,Rs.17.50 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1536,Chennai,Rs.17.64 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1537,Ahmedabad,Rs.15.93 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1538,Lucknow,Rs.16.48 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1539,Jaipur,Rs.16.69 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1540,Patna,Rs.16.63 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1541,Chandigarh,Rs.15.96 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight
1542,Ex-Showroom Price,"Rs.11,80,090",TATA,NEXON,Nexon Creative Diesel AMT
1543,Bangalore,Rs.14.81 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1544,Mumbai,Rs.14.13 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1545,Pune,Rs.14.34 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1546,Hyderabad,Rs.14.59 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1547,Chennai,Rs.14.60 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1548,Ahmedabad,Rs.13.19 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1549,Lucknow,Rs.13.65 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1550,Jaipur,Rs.14.09 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1551,Patna,Rs.13.77 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1552,Chandigarh,Rs.13.65 Lakh*,TATA,NEXON,Nexon Creative Diesel AMT
1553,Ex-Showroom Price,"Rs.11,73,400",HYUNDAI,VENUE,Venue HX 5 Diesel AT
1554,Bangalore,Rs.14.41 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1555,Mumbai,Rs.14.05 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1556,Pune,Rs.14.05 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1557,Hyderabad,Rs.14.41 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1558,Chennai,Rs.14.52 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1559,Ahmedabad,Rs.13.11 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1560,Lucknow,Rs.13.57 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1561,Jaipur,Rs.14.01 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1562,Patna,Rs.13.69 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1563,Chandigarh,Rs.13.57 Lakh*,HYUNDAI,VENUE,Venue HX 5 Diesel AT
1564,Ex-Showroom Price,"Rs.9,30,501",mahindra,xuv300,XUV300 W4 Turbo
1565,Ex-Showroom Price,"Rs.12,34,990",TATA,NEXON,Nexon Creative Plus PS DT DCA
1566,Bangalore,Rs.15.49 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1567,Mumbai,Rs.14.54 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1568,Pune,Rs.14.75 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1569,Hyderabad,Rs.15.26 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1570,Chennai,Rs.15.28 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1571,Ahmedabad,Rs.13.80 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1572,Lucknow,Rs.14.28 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1573,Jaipur,Rs.14.32 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1574,Patna,Rs.14.40 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1575,Chandigarh,Rs.14.28 Lakh*,TATA,NEXON,Nexon Creative Plus PS DT DCA
1576,Ex-Showroom Price,"Rs.6,84,900",MARUTI,FRONX,FRONX Sigma
1577,Bangalore,Rs.8.19 Lakh*,MARUTI,FRONX,FRONX Sigma
1578,Mumbai,Rs.7.98 Lakh*,MARUTI,FRONX,FRONX Sigma
1579,Pune,Rs.7.96 Lakh*,MARUTI,FRONX,FRONX Sigma
1580,Hyderabad,Rs.8.14 Lakh*,MARUTI,FRONX,FRONX Sigma
1581,Chennai,Rs.8.12 Lakh*,MARUTI,FRONX,FRONX Sigma
1582,Ahmedabad,Rs.7.73 Lakh*,MARUTI,FRONX,FRONX Sigma
1583,Lucknow,Rs.7.77 Lakh*,MARUTI,FRONX,FRONX Sigma
1584,Jaipur,Rs.7.94 Lakh*,MARUTI,FRONX,FRONX Sigma
1585,Patna,Rs.7.91 Lakh*,MARUTI,FRONX,FRONX Sigma
1586,Chandigarh,Rs.7.80 Lakh*,MARUTI,FRONX,FRONX Sigma
1587,Ex-Showroom Price,"Rs.9,14,890",TATA,NEXON,Nexon Pure Plus S
1588,Bangalore,Rs.10.89 Lakh*,TATA,NEXON,Nexon Pure Plus S
1589,Mumbai,Rs.10.62 Lakh*,TATA,NEXON,Nexon Pure Plus S
1590,Pune,Rs.10.80 Lakh*,TATA,NEXON,Nexon Pure Plus S
1591,Hyderabad,Rs.10.89 Lakh*,TATA,NEXON,Nexon Pure Plus S
1592,Chennai,Rs.10.80 Lakh*,TATA,NEXON,Nexon Pure Plus S
1593,Ahmedabad,Rs.10.16 Lakh*,TATA,NEXON,Nexon Pure Plus S
1594,Lucknow,Rs.10.34 Lakh*,TATA,NEXON,Nexon Pure Plus S
1595,Jaipur,Rs.10.56 Lakh*,TATA,NEXON,Nexon Pure Plus S
1596,Patna,Rs.10.61 Lakh*,TATA,NEXON,Nexon Pure Plus S
1597,Chandigarh,Rs.10.52 Lakh*,TATA,NEXON,Nexon Pure Plus S
1598,Ex-Showroom Price,"Rs.14,19,000",KIA,SELTOS,Seltos HTK Opt
1599,Bangalore,Rs.17.60 Lakh*,KIA,SELTOS,Seltos HTK Opt
1600,Mumbai,Rs.16.64 Lakh*,KIA,SELTOS,Seltos HTK Opt
1601,Pune,Rs.16.68 Lakh*,KIA,SELTOS,Seltos HTK Opt
1602,Hyderabad,Rs.17.39 Lakh*,KIA,SELTOS,Seltos HTK Opt
1603,Chennai,Rs.17.54 Lakh*,KIA,SELTOS,Seltos HTK Opt
1604,Ahmedabad,Rs.14.05 Lakh*,KIA,SELTOS,Seltos HTK Opt
1605,Lucknow,Rs.16.39 Lakh*,KIA,SELTOS,Seltos HTK Opt
1606,Jaipur,Rs.16.59 Lakh*,KIA,SELTOS,Seltos HTK Opt
1607,Patna,Rs.16.53 Lakh*,KIA,SELTOS,Seltos HTK Opt
1608,Chandigarh,Rs.16.39 Lakh*,KIA,SELTOS,Seltos HTK Opt
1609,Ex-Showroom Price,"Rs.8,99,900",TATA,PUNCH,Punch Accomplished Plus S
1610,Bangalore,Rs.10.72 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1611,Mumbai,Rs.10.45 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1612,Pune,Rs.10.45 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1613,Hyderabad,Rs.10.72 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1614,Chennai,Rs.10.63 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1615,Ahmedabad,Rs.10 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1616,Lucknow,Rs.10.17 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1617,Jaipur,Rs.10.38 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1618,Patna,Rs.10.44 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1619,Chandigarh,Rs.10.35 Lakh*,TATA,PUNCH,Punch Accomplished Plus S
1620,Ex-Showroom Price,"Rs.8,29,900",TATA,PUNCH,Punch Accomplished
1621,Bangalore,Rs.9.89 Lakh*,TATA,PUNCH,Punch Accomplished
