Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.9,65,500"
Bangalore,Rs.11.73 Lakh*
Mumbai,Rs.11.45 Lakh*
Pune,Rs.11.39 Lakh*
Hyderabad,Rs.11.49 Lakh*
Chennai,Rs.11.39 Lakh*
Ahmedabad,Rs.10.72 Lakh*
Lucknow,Rs.10.90 Lakh*
Jaipur,Rs.11.46 Lakh*
Patna,Rs.11.19 Lakh*
Chandigarh,Rs.11.09 Lakh*
