Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.19,99,000"
Bangalore,Rs.24.83 Lakh*
Mumbai,Rs.24 Lakh*
Pune,Rs.24 Lakh*
Hyderabad,Rs.24.45 Lakh*
Chennai,Rs.24.65 Lakh*
Ahmedabad,Rs.22.25 Lakh*
Lucknow,Rs.23.03 Lakh*
Jaipur,Rs.23.31 Lakh*
Patna,Rs.23.63 Lakh*
Chandigarh,Rs.23.43 Lakh*
