Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.18,41,428"
Bangalore,Rs.22.53 Lakh*
Mumbai,Rs.21.71 Lakh*
Pune,Rs.18.69 Lakh*
Hyderabad,Rs.22.84 Lakh*
Chennai,Rs.22.72 Lakh*
Ahmedabad,Rs.20.51 Lakh*
Lucknow,Rs.21.23 Lakh*
Jaipur,Rs.21.73 Lakh*
Patna,Rs.21.78 Lakh*
Chandigarh,Rs.20.46 Lakh*
