Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.15,51,100"
Bangalore,Rs.19 Lakh*
Mumbai,Rs.18.54 Lakh*
Pune,Rs.18.54 Lakh*
Hyderabad,Rs.19.28 Lakh*
Chennai,Rs.19.16 Lakh*
Ahmedabad,Rs.17.30 Lakh*
Lucknow,Rs.17.90 Lakh*
Jaipur,Rs.18.47 Lakh*
Patna,Rs.18.36 Lakh*
Chandigarh,Rs.18.21 Lakh*
