Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.16,70,498"
Bangalore,Rs.20.65 Lakh*
Mumbai,Rs.20.15 Lakh*
Pune,Rs.20.15 Lakh*
Hyderabad,Rs.20.65 Lakh*
Chennai,Rs.20.82 Lakh*
Ahmedabad,Rs.19.04 Lakh*
Lucknow,Rs.19.46 Lakh*
Jaipur,Rs.20.12 Lakh*
Patna,Rs.19.96 Lakh*
Chandigarh,Rs.19.79 Lakh*
