Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.11,50,900"
Bangalore,Rs.14.13 Lakh*
Mumbai,Rs.13.54 Lakh*
Pune,Rs.13.47 Lakh*
Hyderabad,Rs.14.13 Lakh*
Chennai,Rs.14.25 Lakh*
Ahmedabad,Rs.12.80 Lakh*
Lucknow,Rs.13.31 Lakh*
Jaipur,Rs.13.37 Lakh*
Patna,Rs.13.43 Lakh*
Chandigarh,Rs.12.93 Lakh*
