Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.20,63,600"
Bangalore,Rs.25.64 Lakh*
Mumbai,Rs.25.03 Lakh*
Pune,Rs.25.09 Lakh*
Hyderabad,Rs.25.64 Lakh*
Chennai,Rs.26.06 Lakh*
Ahmedabad,Rs.23.44 Lakh*
Lucknow,Rs.23.97 Lakh*
Jaipur,Rs.24.89 Lakh*
Patna,Rs.24.59 Lakh*
Chandigarh,Rs.24.38 Lakh*
