Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.10,29,748"
Bangalore,Rs.12.66 Lakh*
Mumbai,Rs.12.41 Lakh*
Pune,Rs.12.38 Lakh*
Hyderabad,Rs.12.71 Lakh*
Chennai,Rs.12.76 Lakh*
Ahmedabad,Rs.11.65 Lakh*
Lucknow,Rs.11.93 Lakh*
Jaipur,Rs.12.20 Lakh*
Patna,Rs.12.08 Lakh*
Chandigarh,Rs.11.93 Lakh*
