Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.18,79,000"
Bangalore,Rs.23.26 Lakh*
Mumbai,Rs.21.98 Lakh*
Pune,Rs.22.05 Lakh*
Hyderabad,Rs.22.99 Lakh*
Chennai,Rs.23.18 Lakh*
Ahmedabad,Rs.20.92 Lakh*
Lucknow,Rs.21.66 Lakh*
Jaipur,Rs.21.92 Lakh*
Patna,Rs.22.22 Lakh*
Chandigarh,Rs.22.03 Lakh*
