Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.7,99,000"
Bangalore,Rs.9.74 Lakh*
Mumbai,Rs.9.45 Lakh*
Pune,Rs.9.45 Lakh*
Hyderabad,Rs.9.53 Lakh*
Chennai,Rs.9.45 Lakh*
Ahmedabad,Rs.10.01 Lakh*
Lucknow,Rs.9.04 Lakh*
Jaipur,Rs.9.66 Lakh*
Patna,Rs.9.20 Lakh*
Chandigarh,Rs.9.20 Lakh*
