Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.16,69,000"
Bangalore,Rs.20.68 Lakh*
Mumbai,Rs.19.54 Lakh*
Pune,Rs.19.60 Lakh*
Hyderabad,Rs.20.44 Lakh*
Chennai,Rs.20.60 Lakh*
Ahmedabad,Rs.18.60 Lakh*
Lucknow,Rs.19.25 Lakh*
Jaipur,Rs.19.48 Lakh*
Patna,Rs.19.75 Lakh*
Chandigarh,Rs.19.58 Lakh*
