Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.12,53,290"
Bangalore,Rs.15.74 Lakh*
Mumbai,Rs.14.25 Lakh*
Pune,Rs.14.59 Lakh*
Hyderabad,Rs.15.50 Lakh*
Chennai,Rs.15.50 Lakh*
Ahmedabad,Rs.14 Lakh*
Lucknow,Rs.14.49 Lakh*
Jaipur,Rs.14.53 Lakh*
Patna,Rs.14.61 Lakh*
Chandigarh,Rs.14.49 Lakh*
