Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.9,71,000"
Bangalore,Rs.11.55 Lakh*
Mumbai,Rs.11.32 Lakh*
Pune,Rs.11.26 Lakh*
Hyderabad,Rs.11.55 Lakh*
Chennai,Rs.11.46 Lakh*
Ahmedabad,Rs.10.78 Lakh*
Lucknow,Rs.10.96 Lakh*
Jaipur,Rs.11.27 Lakh*
Patna,Rs.11.25 Lakh*
Chandigarh,Rs.11.16 Lakh*
