Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.8,58,900"
Bangalore,Rs.10.24 Lakh*
Mumbai,Rs.9.69 Lakh*
Pune,Rs.9.69 Lakh*
Hyderabad,Rs.10.21 Lakh*
Chennai,Rs.10.14 Lakh*
Ahmedabad,Rs.9.62 Lakh*
Lucknow,Rs.9.71 Lakh*
Jaipur,Rs.9.92 Lakh*
Patna,Rs.9.97 Lakh*
Chandigarh,Rs.9.73 Lakh*
