Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.7,31,890"
Bangalore,Rs.8.94 Lakh*
Mumbai,Rs.8.52 Lakh*
Pune,Rs.8.69 Lakh*
Hyderabad,Rs.8.75 Lakh*
Chennai,Rs.8.67 Lakh*
Ahmedabad,Rs.8.15 Lakh*
Lucknow,Rs.8.29 Lakh*
Jaipur,Rs.8.47 Lakh*
Patna,Rs.8.44 Lakh*
Chandigarh,Rs.8.44 Lakh*
