Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.12,71,590"
Bangalore,Rs.15.94 Lakh*
Mumbai,Rs.14.96 Lakh*
Pune,Rs.15.18 Lakh*
Hyderabad,Rs.15.71 Lakh*
Chennai,Rs.15.73 Lakh*
Ahmedabad,Rs.14.20 Lakh*
Lucknow,Rs.14.70 Lakh*
Jaipur,Rs.14.74 Lakh*
Patna,Rs.14.82 Lakh*
Chandigarh,Rs.14.70 Lakh*
