Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.20,19,758"
Bangalore,Rs.24.91 Lakh*
Mumbai,Rs.24.30 Lakh*
Pune,Rs.24.63 Lakh*
Hyderabad,Rs.25.44 Lakh*
Chennai,Rs.25.31 Lakh*
Ahmedabad,Rs.22.48 Lakh*
Lucknow,Rs.23.27 Lakh*
Jaipur,Rs.24.28 Lakh*
Patna,Rs.23.88 Lakh*
Chandigarh,Rs.22.39 Lakh*
