Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.18,39,000"
Bangalore,Rs.22.77 Lakh*
Mumbai,Rs.21.52 Lakh*
Pune,Rs.21.59 Lakh*
Hyderabad,Rs.22.50 Lakh*
Chennai,Rs.22.69 Lakh*
Ahmedabad,Rs.20.48 Lakh*
Lucknow,Rs.21.20 Lakh*
Jaipur,Rs.21.45 Lakh*
Patna,Rs.21.75 Lakh*
Chandigarh,Rs.21.57 Lakh*
