Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.8,44,645"
Bangalore,Rs.10.07 Lakh*
Mumbai,Rs.9.65 Lakh*
Pune,Rs.9.48 Lakh*
Hyderabad,Rs.10.16 Lakh*
Chennai,Rs.9.98 Lakh*
Ahmedabad,Rs.9.39 Lakh*
Lucknow,Rs.9.55 Lakh*
Jaipur,Rs.9.92 Lakh*
Patna,Rs.9.81 Lakh*
Chandigarh,Rs.9.48 Lakh*
