Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.9,08,959"
Bangalore,Rs.10.82 Lakh*
Mumbai,Rs.10.63 Lakh*
Pune,Rs.10.55 Lakh*
Hyderabad,Rs.10.91 Lakh*
Chennai,Rs.10.73 Lakh*
Ahmedabad,Rs.10.10 Lakh*
Lucknow,Rs.10.27 Lakh*
Jaipur,Rs.10.65 Lakh*
Patna,Rs.10.54 Lakh*
Chandigarh,Rs.10.45 Lakh*
