Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.9,85,300"
Bangalore,Rs.11.88 Lakh*
Mumbai,Rs.11.45 Lakh*
Pune,Rs.11.45 Lakh*
Hyderabad,Rs.11.63 Lakh*
Chennai,Rs.11.62 Lakh*
Ahmedabad,Rs.10.87 Lakh*
Lucknow,Rs.11.12 Lakh*
Jaipur,Rs.11.37 Lakh*
Patna,Rs.11.42 Lakh*
Chandigarh,Rs.11 Lakh*
