Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.12,77,387"
Bangalore,Rs.15.67 Lakh*
Mumbai,Rs.15.77 Lakh*
Pune,Rs.15.30 Lakh*
Hyderabad,Rs.15.73 Lakh*
Chennai,Rs.15.80 Lakh*
Ahmedabad,Rs.14 Lakh*
Lucknow,Rs.14.76 Lakh*
Jaipur,Rs.15.09 Lakh*
Patna,Rs.14.89 Lakh*
Chandigarh,Rs.14.76 Lakh*
