Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.18,29,000"
Bangalore,Rs.22.65 Lakh*
Mumbai,Rs.21.78 Lakh*
Pune,Rs.21.83 Lakh*
Hyderabad,Rs.22.38 Lakh*
Chennai,Rs.22.57 Lakh*
Ahmedabad,Rs.20.37 Lakh*
Lucknow,Rs.21.08 Lakh*
Jaipur,Rs.21.75 Lakh*
Patna,Rs.21.63 Lakh*
Chandigarh,Rs.21.45 Lakh*
