Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.8,44,471"
Bangalore,Rs.10.99 Lakh*
Mumbai,Rs.9.89 Lakh*
Pune,Rs.10.71 Lakh*
Hyderabad,Rs.10.15 Lakh*
Chennai,Rs.10.90 Lakh*
Ahmedabad,Rs.10.25 Lakh*
Lucknow,Rs.10.43 Lakh*
Jaipur,Rs.9.92 Lakh*
Patna,Rs.10.71 Lakh*
Chandigarh,Rs.10.61 Lakh*
