Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.7,30,138"
Bangalore,Rs.8.72 Lakh*
Mumbai,Rs.8.57 Lakh*
Pune,Rs.8.53 Lakh*
Hyderabad,Rs.8.70 Lakh*
Chennai,Rs.8.65 Lakh*
Ahmedabad,Rs.8.23 Lakh*
Lucknow,Rs.8.27 Lakh*
Jaipur,Rs.8.38 Lakh*
Patna,Rs.8.49 Lakh*
Chandigarh,Rs.8.42 Lakh*
