Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.11,80,090"
Bangalore,Rs.14.81 Lakh*
Mumbai,Rs.14.13 Lakh*
Pune,Rs.14.34 Lakh*
Hyderabad,Rs.14.59 Lakh*
Chennai,Rs.14.60 Lakh*
Ahmedabad,Rs.13.19 Lakh*
Lucknow,Rs.13.65 Lakh*
Jaipur,Rs.14.09 Lakh*
Patna,Rs.13.77 Lakh*
Chandigarh,Rs.13.65 Lakh*
