Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.11,24,669"
Bangalore,Rs.13.81 Lakh*
Mumbai,Rs.13.54 Lakh*
Pune,Rs.13.50 Lakh*
Hyderabad,Rs.13.87 Lakh*
Chennai,Rs.13.93 Lakh*
Ahmedabad,Rs.12.71 Lakh*
Lucknow,Rs.13.01 Lakh*
Jaipur,Rs.13.31 Lakh*
Patna,Rs.13.17 Lakh*
Chandigarh,Rs.13.01 Lakh*
