Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.11,25,190"
Bangalore,Rs.14.15 Lakh*
Mumbai,Rs.12.81 Lakh*
Pune,Rs.13.13 Lakh*
Hyderabad,Rs.13.94 Lakh*
Chennai,Rs.13.93 Lakh*
Ahmedabad,Rs.12.58 Lakh*
Lucknow,Rs.13.02 Lakh*
Jaipur,Rs.13.06 Lakh*
Patna,Rs.13.13 Lakh*
Chandigarh,Rs.13.02 Lakh*
