Ex-Showroom/ On-Road,Price
Ex-Showroom Price,"Rs.11,61,790"
Bangalore,Rs.14.61 Lakh*
Mumbai,Rs.13.22 Lakh*
Pune,Rs.13.55 Lakh*
Hyderabad,Rs.14.38 Lakh*
Chennai,Rs.14.38 Lakh*
Ahmedabad,Rs.12.99 Lakh*
Lucknow,Rs.13.44 Lakh*
Jaipur,Rs.13.48 Lakh*
Patna,Rs.13.56 Lakh*
Chandigarh,Rs.13.44 Lakh*
