date,company,model,monthly_sales,total_sales
Nov-23,Citroen,C3,265.0,265.0
Nov-23,Citroen,Ë C3,18.0,18.0
Nov-23,Citroen,C3 Aircross,249.0,249.0
Nov-23,Citroen,C5 Aircross,5.0,5.0
Nov-23,Fiat,COMPASS,216.0,216.0
Nov-23,Fiat,Meridian,101.0,101.0
Nov-23,Honda,Amaze,2.6K,2.6K
Nov-23,Honda,City,1.3K,1.3K
Nov-23,Honda,ELEVATE,4.8K,4.8K
Nov-23,Hyundai,Grand i10,4.7K,4.7K
Nov-23,Hyundai,i20 Elite,5.7K,5.7K
Nov-23,Hyundai,Xcent/Aura,3.9K,3.9K
Nov-23,Hyundai,EXTER,8.3K,8.3K
Nov-23,Hyundai,Venue,11.2K,11.2K
Nov-23,Hyundai,Creta,11.8K,11.8K
Nov-23,Hyundai,Verna,1.7K,1.7K
Nov-23,Hyundai,ALCAZAR,1.9K,1.9K
Nov-23,Hyundai,Tucson,118.0,118.0
Nov-23,Hyundai,KONA,19.0,19.0
Nov-23,Hyundai,IONIQ 5,96.0,96.0
Nov-23,Kia,SELTOS,11.7K,11.7K
Nov-23,Kia,SONET,6.4K,6.4K
Nov-23,Kia,CARENS,4.6K,4.6K
Nov-23,Kia,EV6,25.0,25.0
Nov-23,Mahindra,XUV 700,7.2K,7.2K
Nov-23,Mahindra,Bolero,9.3K,9.3K
Nov-23,Mahindra,Thar,5.8K,5.8K
Nov-23,Mahindra,XUV 300,4.7K,4.7K
Nov-23,Mahindra,XUV 400,710.0,710.0
Nov-23,Mahindra,Marazzo,49.0,49.0
Nov-23,Mahindra,Scorpio,12.2K,12.2K
Nov-23,Maruti,Alto,8.1K,8.1K
Nov-23,Maruti,Eeco,10.2K,10.2K
Nov-23,Maruti,S Presso,1.9K,1.9K
Nov-23,Maruti,Wagon R,16.6K,16.6K
Nov-23,Maruti,IGNIS,1.7K,1.7K
Nov-23,Maruti,Ertiga,12.9K,12.9K
Nov-23,Maruti,XL6,3.5K,3.5K
Nov-23,Maruti,CELERIO,2.2K,2.2K
Nov-23,Maruti,Vitara Brezza,13.4K,13.4K
Nov-23,Maruti,Swift,15.3K,15.3K
Nov-23,Maruti,Baleno,13.0K,13.0K
Nov-23,Maruti,FRONX,9.9K,9.9K
Nov-23,Maruti,JIMNY,1.0K,1.0K
Nov-23,Maruti,INVICTO,470.0,470.0
Nov-23,Maruti,DZIRE,16.0K,16.0K
Nov-23,Maruti,Ciaz,278.0,278.0
Nov-23,Maruti,Grand Vitara,7.9K,7.9K
Nov-23,Morris Garage,Hector,2.1K,2.1K
Nov-23,Morris Garage,Gloster,172.0,172.0
Nov-23,Morris Garage,Astor,726.0,726.0
Nov-23,Morris Garage,COMET,698.0,698.0
Nov-23,Morris Garage,ZS EV,428.0,428.0
Nov-23,Nissan,MAGNITE,2.5K,2.5K
Nov-23,Renault,KWID,610.0,610.0
Nov-23,Renault,KIGER,530.0,530.0
Nov-23,Renault,TRIBER,1.3K,1.3K
Nov-23,Skoda,KUSHAQ,1.9K,1.9K
Nov-23,Skoda,SLAVIA,1.7K,1.7K
Nov-23,Skoda,KODIAQ,126.0,126.0
Nov-23,Tata,Tiago,5.5K,5.5K
Nov-23,Tata,PUNCH,14.4K,14.4K
Nov-23,Tata,ALTROZ,5.0K,5.0K
Nov-23,Tata,TIGOR,1.8K,1.8K
Nov-23,Tata,NEXON,14.9K,14.9K
Nov-23,Tata,SAFARI,2.2K,2.2K
Nov-23,Tata,HARRIER,2.3K,2.3K
Nov-23,Toyota,Innova + Hycross,6.9K,6.9K
Nov-23,Toyota,GLANZA,4.0K,4.0K
Nov-23,Toyota,Fortuner,1.9K,1.9K
Nov-23,Toyota,Camry,198.0,198.0
Nov-23,Toyota,RUMION,718.0,718.0
Nov-23,Toyota,HYRYDER,3.0K,3.0K
Nov-23,Toyota,HILUX,214.0,214.0
Nov-23,Toyota,VELLFIRE,53.0,53.0
Nov-23,Volkswagen,VIRTUS,1.2K,1.2K
Nov-23,Volkswagen,TAIGUN,1.8K,1.8K
Nov-23,Volkswagen,TIGUAN,150.0,150.0
Nov-23,Grand Total,Grand Total,3.3L,3.3L
